user_name,repo_name,repo_url,stars,filename,Unnamed: 0,title,description,url
thomaspark,bootswatch,https://github.com/thomaspark/bootswatch,14600.0,Bootstrap,,,,
bootstrap-vue,bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,14500.0,Bootstrap,,,,
selectize,selectize.js,https://github.com/selectize/selectize.js,13000.0,Bootstrap,,,,
uxsolutions,bootstrap-datepicker,https://github.com/uxsolutions/bootstrap-datepicker,12700.0,Bootstrap,,,,
coreui,coreui-free-bootstrap-admin-template,https://github.com/coreui/coreui-free-bootstrap-admin-template,12000.0,Bootstrap,,,,
wenzhixin,bootstrap-table,https://github.com/wenzhixin/bootstrap-table,11700.0,Bootstrap,,,,
Templarian,MaterialDesign,https://github.com/Templarian/MaterialDesign,11000.0,Bootstrap,,,,
reactstrap,reactstrap,https://github.com/reactstrap/reactstrap,10600.0,Bootstrap,,,,
snapappointments,bootstrap-select,https://github.com/snapappointments/bootstrap-select,9900.0,Bootstrap,,,,
StartBootstrap,startbootstrap-sb-admin-2,https://github.com/StartBootstrap/startbootstrap-sb-admin-2,9800.0,Bootstrap,,,,
mdbootstrap,material-design-for-bootstrap,https://github.com/mdbootstrap/material-design-for-bootstrap,9300.0,Bootstrap,,,,
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,8200.0,Bootstrap,,,,
cotes2020,jekyll-theme-chirpy,https://github.com/cotes2020/jekyll-theme-chirpy,7400.0,Bootstrap,,,,
ccxt,ccxt,https://github.com/ccxt/ccxt,32900.0,Bot,,,,
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,26200.0,Bot,,,,
discordjs,discord.js,https://github.com/discordjs/discord.js,25400.0,Bot,,,,
feder-cr,Auto_Jobs_Applier_AIHawk,https://github.com/feder-cr/Auto_Jobs_Applier_AIHawk,21200.0,Bot,,,,
wechaty,wechaty,https://github.com/wechaty/wechaty,20300.0,Bot,,,,
RasaHQ,rasa,https://github.com/RasaHQ/rasa,18900.0,Bot,,,,
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,16800.0,Bot,,,,
hubotio,hubot,https://github.com/hubotio/hubot,16700.0,Bot,,,,
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,15400.0,Bot,,,,
leon-ai,leon,https://github.com/leon-ai/leon,15400.0,Bot,,,,
Rapptz,discord.py,https://github.com/Rapptz/discord.py,14800.0,Bot,,,,
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,14200.0,Bot,,,,
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,14100.0,Bot,,,,
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,13200.0,Bot,,,,
howdyai,botkit,https://github.com/howdyai/botkit,11500.0,Bot,,,,
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10400.0,Bot,,,,
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,10000.0,Bot,,,,
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,8400.0,Bot,,,,
telegraf,telegraf,https://github.com/telegraf/telegraf,8300.0,Bot,,,,
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,8200.0,Bot,,,,
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,203000.0,C++,,,,
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,177000.0,C++,,,,
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,59600.0,C++,,,,
azl397985856,leetcode,https://github.com/azl397985856/leetcode,54700.0,C++,,,,
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,51600.0,C++,,,,
